Ime županije;Ime grada/općine;MBR naselja;Ime naselja;RBR ulice/trga;Ime ulice/trga;Opis značenja imena ulice/trga
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0034;Vinska cesta III. odvojak;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0035;Vinska cesta IV. odvojak;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0036;Bastalićeva ulica II.;
Grad Zagreb;GRAD ZAGREB;002275;Belovar;0003;Mokrička ulica;Mokrice / dvorac u Sloveniji, XVst
Grad Zagreb;GRAD ZAGREB;002275;Belovar;0006;Poljska cesta;
Grad Zagreb;GRAD ZAGREB;002275;Belovar;0007;Prigorska ulica;
Grad Zagreb;GRAD ZAGREB;002275;Belovar;0008;Varaždinska ulica;
Grad Zagreb;GRAD ZAGREB;002275;Belovar;0009;Vatrogasna ulica;
Grad Zagreb;GRAD ZAGREB;002275;Belovar;0010;Vatrogasni odvojak;
Grad Zagreb;GRAD ZAGREB;002275;Belovar;0011;Vatrogasni odvojak 2;
Grad Zagreb;GRAD ZAGREB;002275;Belovar;0012;Zagrebačka ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0001;Benkošćica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0003;Blaguška ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0004;Boršćakova ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0005;Combajeva ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0006;Gornji Levaki;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0007;Hacmanjki odvojak;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0008;Hacmanjkova ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0009;Mađerova ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0010;Oračeva ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0011;Palikućeva ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0012;Pustički;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0013;Šukljeova ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0014;Trg palih boraca;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0015;Tudekova ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0016;Tuškova ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0017;Žežljeva ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0023;Pirenjakova ulica;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0024;Jesenovečka cesta;Jesenovec / negdašnje selo i potok, dio kaptolskog posjeda kod Kašine/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0026;Odvojak Veliki brijeg;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0027;Grohot;
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0028;Mikutin dol;Mikutin dol / naziv zemljišta
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0029;Gornja jama;Gornja jama / naziv zemljišta
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0030;Domanje;Domanje / naziv zemljišta
Grad Zagreb;GRAD ZAGREB;003298;Blaguša;0031;Blagušina;Blagušina / naziv zemljišta
Grad Zagreb;GRAD ZAGREB;004413;Botinec;0001;Dupci;Dupci / naziv zemljišta/dub - hrast
Grad Zagreb;GRAD ZAGREB;004413;Botinec;0002;Ulica dr. Luje Naletilića;"Lujo Naletilić / ""liječnik i dobrotvor; 1896 - 1972"""
Grad Zagreb;GRAD ZAGREB;004979;Brebernica;0001;Brebernička cesta;
Grad Zagreb;GRAD ZAGREB;004979;Brebernica;0002;Brebernički brijeg;
Grad Zagreb;GRAD ZAGREB;004979;Brebernica;0003;I. Brebernički odvojak;
Grad Zagreb;GRAD ZAGREB;004979;Brebernica;0005;III. Brebernički odvojak;
Grad Zagreb;GRAD ZAGREB;004979;Brebernica;0006;IV. Brebernički odvojak;
Grad Zagreb;GRAD ZAGREB;004979;Brebernica;0007;Škare;
Grad Zagreb;GRAD ZAGREB;005738;Brezovica;0001;Brezovička cesta;Brezovica / negdašnji zaselak i kaptolski posjed/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;005738;Brezovica;0002;Desprimska ulica;
Grad Zagreb;GRAD ZAGREB;005738;Brezovica;0003;Marovićeva ulica;
Grad Zagreb;GRAD ZAGREB;005738;Brezovica;0004;Ulica dr. Luje Naletilića;"Lujo Naletilić / ""liječnik i dobrotvor; 1896 - 1972"""
Grad Zagreb;GRAD ZAGREB;005738;Brezovica;0005;Prigradska ulica III. odvojak;
Grad Zagreb;GRAD ZAGREB;005738;Brezovica;0006;Pekarska ulica;
Grad Zagreb;GRAD ZAGREB;005738;Brezovica;0007;Kašinci;
Grad Zagreb;GRAD ZAGREB;005738;Brezovica;0008;Golobreška ulica;
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0002;Budenečka cesta;Budenec / naselje Grada Zagreba
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0003;Dominićev odvojak;
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0004;Dominićev put;
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0005;Isomcova ulica;
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0006;Ulica Slavka Stančira;"Slavko Stančir / antifašist, sudionik NOB-a; 1925-1944"
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0007;Ulica Slavka Tkalčeca;"Slavko Tkalčec / sudionik NOB-a; 1920-1944"
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0008;Ulica Mate Trbušića;
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0010;Ulica Slavka Stančira II. odvojak;"Slavko Stančir / antifašist, sudionik NOB-a; 1925-1944"
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0011;Budenečka cesta I. odvojak;Budenec / naselje Grada Zagreba
Grad Zagreb;GRAD ZAGREB;006734;Budenec;0012;Ulica Slavka Tkalčeca I. odvojak;"Slavko Tkalčec / sudionik NOB-a; 1920-1944"
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0001;Babići;Babić / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0002;Baneki;Banek / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0003;Bani;Ban / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0004;Bani I. odvojak;Ban / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0005;Bani II. odvojak;Ban / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0006;Bujini;Bujin / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0007;Buzinska cesta;Buzin / negdašnje selo, kaptolski posjed nazvan po kanoniku Buzi/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0009;Buzinski prilaz;Buzin / negdašnje selo, kaptolski posjed nazvan po kanoniku Buzi/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0010;Cebini;Cebin / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0011;Grdenići;Grdenić / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0012;Ulica Mladosti;ulica nazvana po sportskom društvu Mladost
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0013;Ulica Mladosti I. odvojak;ulica nazvana po sportskom društvu Mladost
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0014;Ulica Mladosti II. odvojak;ulica nazvana po sportskom društvu Mladost
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0015;Ulica Mladosti III. odvojak;ulica nazvana po sportskom društvu Mladost
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0016;Velika cesta;cesta koja povezuje naselja Buzin, Hrašće Turopoljsko, Mala Mlaka i Odra
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0017;Vlahovci;Vlahovec / prezime straosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0018;Krčmarići;Krčmarić / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0019;Odranski prilaz;Odra/Odra Sveti Juraj/Adra / negdašnje prekosavsko selo na kaptolskom posjedu Zaprudje (Sv Klara)/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0020;Ulica Thomasa Jeffersona;"Thomas Jefferson / predsjednik Sjedinjenih Američkih Država, 1801-1809, autor Deklaracije o nezavisnosti; 1743-1826"
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0021;Ulica Ivice Šnjarića;"Ivica Šnjarić / hrvatski branitelj iz Domovinskog rata; 1960-1991"
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0022;Avenija Većeslava Holjevca;"Većeslav Holjevac / političar, gradonačelnik Zagreba; 1917-1970"
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0023;Julinska cesta;
Grad Zagreb;GRAD ZAGREB;007471;Buzin;0024;Buzinski krči;Buzin / negdašnje selo, kaptolski posjed nazvan po kanoniku Buzi/predjel grada Zagreba/krč - iskrčeno zemljište
Grad Zagreb;GRAD ZAGREB;007811;Cerje;0003;Donjopoljska ulica;
Grad Zagreb;GRAD ZAGREB;007811;Cerje;0004;Podolnica;
Grad Zagreb;GRAD ZAGREB;007811;Cerje;0005;Severnopoljska ulica;
Grad Zagreb;GRAD ZAGREB;007811;Cerje;0006;Ulica svetog Martina;
Grad Zagreb;GRAD ZAGREB;007811;Cerje;0007;Ulica Stanka Šatovića;
Grad Zagreb;GRAD ZAGREB;007811;Cerje;0008;Ulica Pavla Tukeca;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0002;Drežnik III. odvojak;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0003;Drežnik;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0004;Drežnik IV. odvojak;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0005;Bedeki;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0006;Kutiček;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0007;Gornjodemerska ulica;Demerje / negdašnje selo i kaptolski posjed/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0008;Cvetki;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0009;Štuk;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0010;Ivički;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0011;Majdaki - Kosi;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0012;Klanjec;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0013;Mokrice;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0014;Ulica Darka Mateše;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0015;Demerska ulica;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0016;Kruglica;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0017;Pogledička;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0018;Ulica Josipa Lončića;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0019;Srednji putic;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0020;Maljugi;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0021;Ulica Gorana Šivaka;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0022;Zavrtnica;Zavrtnica / područje s vrtovima, uređeno za vrijeme gradonačelnika Heinzela
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0023;Topolje;
Grad Zagreb;GRAD ZAGREB;010669;Demerje;0024;Črnkovka;
Grad Zagreb;GRAD ZAGREB;010855;Desprim;0001;Desprimska ulica;
Grad Zagreb;GRAD ZAGREB;010855;Desprim;0002;Desprimska ulica II. odvojak;
Grad Zagreb;GRAD ZAGREB;010855;Desprim;0003;Desprimska ulica III. odvojak;
Grad Zagreb;GRAD ZAGREB;010855;Desprim;0004;Desprimska ulica IV. odvojak;
Grad Zagreb;GRAD ZAGREB;010855;Desprim;0005;Drežnik IV. odvojak;
Grad Zagreb;GRAD ZAGREB;010855;Desprim;0006;Golobreška ulica;
Grad Zagreb;GRAD ZAGREB;010855;Desprim;0007;Desprimski put;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0002;Dobrodolski brijeg;Dobrodol / negdašnji zaselak, dio biskupskog posjeda Vugrovca i potok/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0003;Dobrodolska cesta;Dobrodol / negdašnji zaselak, dio biskupskog posjeda Vugrovca i potok/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0008;Šiletići;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0009;Šimunčevečka cesta;Šimunčevec/Šimunkovec / negdašnji zaselak, dio biskupskog posjeda Vugrovca/naselje grada Zagreba
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0018;Veliki vrh;Veliki vrh / naziv zemljišta i brijega
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0020;Benčakov dol;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0021;Kranjčecov breg;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0022;Dobrodolski odvojak;Dobrodol / negdašnji zaselak, dio biskupskog posjeda Vugrovca i potok/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0023;Grahovec;Grahovec / naziv zemljišta
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0024;Humska ulica;Hum na Sutli / naselje u Hrvatskom zagorju
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0025;Ulica Ivana Puđaka;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0026;Svetomatejska ulica;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0027;Trnovečka ulica;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0028;Vugrovečka cesta;Vugrovec/Vuger / negdašnje selo i biskupski posjed/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0029;Vugrovečka cesta odvojak;Vugrovec/Vuger / negdašnje selo i biskupski posjed/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0030;Zagošće;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0031;Dobrodolski brijeg I. odvojak;Dobrodol / negdašnji zaselak, dio biskupskog posjeda Vugrovca i potok/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0032;Dobrodolski brijeg II. odvojak;Dobrodol / negdašnji zaselak, dio biskupskog posjeda Vugrovca i potok/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0033;Šiletići I.;
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0034;Vukodol;Vukodol / naziv zemljišta
Grad Zagreb;GRAD ZAGREB;011231;Dobrodol;0035;Put Lozica;Put Lozica / naziv zemljišta/loza-trsje
Grad Zagreb;GRAD ZAGREB;013196;Donji Čehi;0001;Bulićeva ulica;
Grad Zagreb;GRAD ZAGREB;013196;Donji Čehi;0002;Ulica Slavka Čora;"Slavko Čor / ""antifašist; 1897 - 1941"""
Grad Zagreb;GRAD ZAGREB;013196;Donji Čehi;0003;Lucmanova ulica;
Grad Zagreb;GRAD ZAGREB;013196;Donji Čehi;0004;Sisačka cesta;Sisak / grad, jedno od najstarijih naselja središnje Hrvatske iz 4 st prije Krista/Pokuplje
Grad Zagreb;GRAD ZAGREB;013196;Donji Čehi;0005;Turopoljska ulica;Turopolje/Zagrebačko polje/Campus Zagrabiensis / dio savske nizine, nazvano po starohrvatskom antroponimu Tur/Hotur
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0002;Cerje;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0003;Čret;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0004;Donjodragonoška cesta;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0005;Dugovica;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0006;Gjurakov breg;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0007;Gredina;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0008;Jezera;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0009;Jezišče;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0010;Krč;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0011;Krznarka;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0012;Latišče;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0013;Markulinska draga;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0014;Matkovica;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0015;Mikinov breg;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0016;Mikinov breg odvojak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0017;Okolica;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0018;Orešek;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0019;Pod čretom;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0020;Pod stoborom;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0021;Pri šikavi;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0022;Ribnjak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0023;Romak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0024;Senoška;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0025;Sitača;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0026;Šimerov breg;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0027;Šipkovina;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0028;Turopoljska cesta;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0029;Vodovodna ulica;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0031;Bukvinjak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0032;Markulinska draga I. odvojak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0033;Mikinov breg II. odvojak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0034;Jurinčev breg;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0035;Pecinov breg;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0036;Vodovodna I. odvojak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0037;Vodovodna II. odvojak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0038;Markulinska draga II. odvojak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0039;Markulinska draga III. odvojak;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0040;Pod kamenkom;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0041;Romača;
Grad Zagreb;GRAD ZAGREB;013285;Donji Dragonožec;0042;Petravići;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0003;Čućev gaj;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0004;Detiščak;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0005;Feričevo;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0006;Ferki;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0007;Gata;Gata / naziv zemljišta
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0008;Kosmašnik;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0009;Koševina;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0010;Penarka;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0011;Šencaji;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0012;Trpučanska cesta;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0013;Vinešnjak;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0014;Donjodragonoška cesta;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0015;Brezina;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0016;Vinešnjak I. odvojak;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0017;Put u Čučev gaj;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0018;Vinešnjak II. odvojak;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0019;Vinešnjak III. odvojak;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0020;Curek;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0021;Hižišće;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0022;Rosulja;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0023;Uski put;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0024;Ivšani;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0025;Petrička;
Grad Zagreb;GRAD ZAGREB;014036;Donji Trpuci;0026;Brebernička cesta;
Grad Zagreb;GRAD ZAGREB;014818;Drenčec;0001;Bojničićeva ulica;
Grad Zagreb;GRAD ZAGREB;014818;Drenčec;0003;Ulica Vinka Kindera;
Grad Zagreb;GRAD ZAGREB;014818;Drenčec;0004;Ulica Vinka Kindera odvojak;
Grad Zagreb;GRAD ZAGREB;014818;Drenčec;0005;Kusova ulica;
Grad Zagreb;GRAD ZAGREB;014818;Drenčec;0006;Šumska ulica;
Grad Zagreb;GRAD ZAGREB;014818;Drenčec;0007;Ulica slobode;
Grad Zagreb;GRAD ZAGREB;014818;Drenčec;0009;Put loza;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0001;Desprimska ulica;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0002;Desprimska ulica I. odvojak;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0003;Drežnik;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0004;Drežnik I. odvojak;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0005;Drežnik II. odvojak;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0006;Drežnik IV. odvojak;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0007;Ravna ulica;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0008;Desprimska ulica II. odvojak;
Grad Zagreb;GRAD ZAGREB;014982;Drežnik Brezovički;0009;Desprimska ulica IV. odvojak;
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0001;Ulica Josipa Antoljaka;
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0002;Bilogorska ulica;Bilogora/Bilo-gorje / prostrano gorje središnje Hrvatske, razvodnica savskoga i dravskoga porječja (Rajčevica 309 mnv)
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0003;Dinarska ulica;"Dinara / planina u Dinarskom gorju ponad Knina; vrh Dinare Sinjal (1831 mnv) najviši je vrh u Hrvatskoj"
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0005;Franjčevićeva ulica;
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0006;Fruškogorska ulica;Fruška gora / planina u sjevernom Srijemu (Crveni čot 539 mnv)/Hrvatska i Srbija
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0007;Igmanska ulica;Igman / planina u Bosni i Hercegovini
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0008;Kalnička ulica;Stari grad Veliki Kalnik / srednjovjekovni utvrđeni grad iz XIII st na planini Kalnik
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0009;Kapelska ulica;"Velika i Mala Kapela / planinski lanci; Dinarskog gorja"
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0010;Plješivička ulica;
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0011;Ulica Vinka Sedinića;
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0012;Triglavska ulica;
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0015;I. Dumovečki lug;
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0016;II. Dumovečki lug;
Grad Zagreb;GRAD ZAGREB;015954;Dumovec;0017;III. Dumovečki lug;
Grad Zagreb;GRAD ZAGREB;016268;Đurđekovec;0001;Borovčica;Borovčica / naziv zemljišta
Grad Zagreb;GRAD ZAGREB;016268;Đurđekovec;0002;Breg;
Grad Zagreb;GRAD ZAGREB;016268;Đurđekovec;0003;Dol;
