Broj upisnog lista;Naziv kazalista;Telefon kazalista;Fax kazalista;Email kazalista;Zupanija;Grad;Adresa kazalista;Status kazalista;Web kazalista;Naziv osnivaca kazalista;Zupanija osnivaca;Grad osnivaca;Adresa osnivaca;Naziv pravne osobe;Zupanija pravne osobe;Grad pravne osobe;Adresa pravne osobe;Tel pravne osobe;Fax pravne osobe;Email pravne osobe;Broj akta o osnivanju;Datum osnivanja akta;Broj statuta;Datum statuta;Broj upisa u registar;Datum upisa u registar;Intendant ravnatelj;Broj akta o imenovanju;Datum imenovanja intendanta;Popis članova;Napomena;
KAZ-269;Kazališna družina Kuća Klajn;098/817 7612;;kucaklajn@gmail.com;Krapinsko-zagorska;Klanjec;Antuna Augustinčića 1;Umjetnička organizacija;;Jerko Marčić, Ivana Vuković;;;;Umjetnička organizacija Kuća Klajn;Krapinsko-zagorska;Klanjec;Antuna Augustinčića 1;;;;;9.4.2022. 0:00:00;;9.4.2022. 0:00:00;572;19.4.2022. 0:00:00;Ivana Vuković;KLASA: UP/I-611-09/22-01/0010;19.4.2022. 0:00:00;;Kazališna družina Kuća Klajn je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije Kuća Klajn. Odgovorna osoba Umjetničke organizacije Kuća Klajn  je Jerko Marčić;
KAZ-186;Kazališna družina "Kontrast teatar";099-406-5790;;matko.buvac@gmail.com;Međimurska;Nedelišće;Jurja Križanića 8;Umjetnička organizacija;;Marko Buvač, Andro Damiš;;;J. Križanića 8, Nedelišće, I. pl. Zajca 35, Čakovec;;;;;;;;Odluka;3.1.2017. 0:00:00;;3.1.2017. 0:00:00;421;16.1.2017. 0:00:00;Matko Buvač;KLASA. UP7I-612-01/17-01/0001;16.1.2017. 0:00:00;;;
KAZ-207;Umjetnička organizacija Kazališna družina Teatar Centralni Inovativni Razuzdani Kolektiv Umjetničkih Snaga Punkt   ;091/898 3388, 098/953 2779;;teatarcirkuspunkt@gmail.com;Grad Zagreb;Grad Zagreb;Tešanjska 18;Umjetnička organizacija;;Marijana Matoković, Lidija Kraljić;;;;;;;;;;;;24.6.2020. 0:00:00;;24.6.2020. 0:00:00;508;26.6.2020. 0:00:00;Marijana Matoković;KLASA: UP/I-612-01/20-01/0019;26.6.2020. 0:00:00;;Skraćeni naziv: Teatar CIRKUS Punkt;
KAZ-201;Kazališna družina Canta!;095/8026062;;;Grad Zagreb;Grad Zagreb;Šetalište 150. brigade HV 10;Umjetnička organizacija;;Davorka Horvat, Damir Horvat, Zvonimir Bajević, Maja Katić;;;Šetalište 150. brigade HV 10, Zagreb, Erdodiyeva 17, Zagreb, Poljana V. Njegovana 7, Zagreb, Dubrovačka 27a, Zagreb;Umjetnička organizacija Canta!;Grad Zagreb;Grad Zagreb;Šetalište 150. brigade HV 10;;;;;12.10.2009. 0:00:00;;12.5.2009. 0:00:00;238;1.6.2009. 0:00:00;Davorka Horvat;;;;;
KAZ-105;Teatar Thalassa;01/2348 333;;dubravka.crnojevic-caric@zg.t-com.hr;Grad Zagreb;Grad Zagreb;Dobri dol 50;Umjetnička organizacija;;Dubravka Crnojević-Carić, Velimir Visković;;;Dobri dol 50, Zagreb, Kajfešov brijeg 6, Zagreb;;;;;;;;Odluka;5.3.2002. 0:00:00;;5.3.2002. 0:00:00;119;20.3.2002. 0:00:00;Dubravka Crnojević-Carić;Klasa: UP/I-612-01/02-01-11;20.3.2002. 0:00:00;;;
KAZ-168;TEATAR POCO LOCO;098/1673314;;teatarpocoloco@gmail.com;Grad Zagreb;Grad Zagreb;Zeleni dol 8;Umjetnička organizacija;;Maja Katić, Dean Krivačić, Zrinka Kušević;;;Zeleni dol 8, Zagreb, Palmotićeva 29a, Zagreb, Sveti duh 157, Zagreb;;;;;;;;;4.9.2014. 0:00:00;;4.9.2014. 0:00:00;374;10.9.2014. 0:00:00;Maja Katić;UP/I-612-01/14-01/0024;10.9.2014. 0:00:00;;;
KAZ-121;Umjetnička organizacija "ARTOMOBIL";095/905 98 30, 091/563 17 96;;;Grad Zagreb;Grad Zagreb;Sopotski odvojak 25;Umjetnička organizacija;;Nikolina Manojlović Vračar, Nikola Dabac;;;Side Košutić 10, 10090 Zagreb, Badalićeva 26F;;;;;;;;OV-1585/12;8.3.2012. 0:00:00;;8.3.2012. 0:00:00;301;20.3.2012. 0:00:00;Nikolina Manojlović Vračar;UP/I-612-01/8-12-02;20.3.2012. 0:00:00;;;
KAZ-071;KAIROS;01/ 38 33 157;;eduard.galic@zg.t-com.hr;Grad Zagreb;Grad Zagreb;Bartolići 4;Umjetnička organizacija;;Aleksandra Galić i Eduard Galić;;;Bartolići 4;;;;;;;;;29.10.2001. 0:00:00;;26.9.2001. 0:00:00;Reg. broj 111;29.10.2001. 0:00:00;Eduard Galić;;;;;
KAZ-279;Kazališna družina ova;+38591 799 7765;;anika.cetina@gmail.com, vmilo451@gmail.com;Grad Zagreb;Grad Zagreb;Gruška ulica 14;Umjetnička organizacija;;Valentina Miloš, Anika Cetina;;;;Umjetnička organizacija ova;Grad Zagreb;Grad Zagreb;Gruška ulica 14;;;anika.cetina@gmail.com, vmilo451@gmail.com;;1.3.2024. 0:00:00;;1.3.2024. 0:00:00;619;11.3.2024. 0:00:00;Anika Cetina;;11.3.2024. 0:00:00;;Kazališna družina ova je posebna ustrojstvena jedinica u sastavu Umjetničke organizacije ova.  Anika Cetina je ravnateljica Kazališne družine i odgovorna osoba Umjetničke organizacije.;
KAZ-012;PLANET ART;01/ 46 13 675, 01/ 48 22 381;01/ 37 33 670;marko.torjanac@zg.htnet.hr;Grad Zagreb;Grad Zagreb;Vlaška 70 a;Umjetnička organizacija;www.planet-art.hr;Marko Torjanac i Zvjezdana Bubnjar;;;Vlaška 70 a i Srednjaci 18;Ministarstvo kulture RH;Grad Zagreb;Grad Zagreb;Runjaninova 2;;;;;25.3.2001. 0:00:00;;25.3.2001. 0:00:00;Reg. broj 92. upisa u Registar umjetničkih organizacija pri Ministarstvu kulture RH;10.4.2001. 0:00:00;Marko Torjanac;;;;;
KAZ-008;Multimedijalna umjetnička organizacija BACAČI SJENKI;01/ 46 20 860, 01/ 37 60 026;01/ 48 55 729;bacaci_sjenki@europe.com;Grad Zagreb;Grad Zagreb;Bosanska 10;Umjetnička organizacija;;Samostalni umjetnici Boris Bakal i Željko Serdarević;;;Bosanska 10, Zagreb i Bartola Kašića 2, Split;;;;;;;;;4.2.2002. 0:00:00;;4.2.2002. 0:00:00;Reg. br. 117;5.3.2002. 0:00:00;Boris Bakal;Rješenje Ministarstva kulture Klasa: UP/I-612-01/02-01-06;5.3.2002. 0:00:00;;;
KAZ-285;Kazališna družina Periferija;+385994242 770;;uo.periferija@gmail.com;Grad Zagreb;Grad Zagreb;Bosiljevska ulica 16;Umjetnička organizacija;;Karla Mesek, Patrik Sečen;;;;Umjetnička organizacija "Periferija";Grad Zagreb;Grad Zagreb;Bosiljevska ulica 16;+385994242 770;;uo.periferija@gmail.com;;30.7.2024. 0:00:00;;30.7.2024. 0:00:00;631;14.8.2024. 0:00:00;Karla Mesek;KLASA: UP/I-611-09/24-01/0030;14.8.2024. 0:00:00;;Kazališna družina "Periferija" je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije "Periferija". Ravnateljica Kazališne družine i odgovorna osoba Umjetničke organizacije je Karla Mesek. ;
KAZ-265;Kazališna družina Os;;;os.org7@gmail.com;Grad Zagreb;Grad Zagreb;Ilica 113;Umjetnička organizacija;;Nataša Kustura, Kristina Lisica, Silvija Musić, Sara Trbara;;;;Umjetnička organizacija Os;;;Ilica 113;;;os.org7@gmail.com;;21.3.2023. 0:00:00;;21.3.2023. 0:00:00;600;30.3.2023. 0:00:00;Silvija Musić;KLASA: UP/I-611-09/22-01/0041;30.3.2023. 0:00:00;;Kazališna družina Os je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije Os. Umjetnička voditeljica Umjetničke organizacije Os je ujedno i ravnateljica Kazališne družine Os- Silvija Musić.;
KAZ-271;Kazališna družina Khaos Kolektiv;099/4999705;;khaoskolektiv@gmail.com;Grad Zagreb;Grad Zagreb;Đakovačka 1;Umjetnička organizacija;;Kristina Grubiša, Dea Presečki;;;;Umjetnička organizacija Khaos Kolektiv;;;;099/49999705;;khaoskolektiv@gmail.com;43/96 i 44/96;17.3.2022. 0:00:00;43/96 i 44/96;17.3.2022. 0:00:00;568;31.3.2022. 0:00:00;Kristina Grubiša;KLASA: UP/I-611-09/22-01/0011;31.3.2022. 0:00:00;;Kazališna družina Khaos Kolektiv je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije Khaos Kolektiv. Katarina Grubiša je ravnateljica Kazališne družine te umjetnička voditeljica i odgovorna osoba Umjetničke organizacije.;
KAZ-272;Umjetnička organizacija Kazališna družina Teatar Foyer;;;teatarfoyer@gmail.com;Grad Zagreb;Grad Zagreb;Ljudevita Farkaša Vukotinovića 5;Umjetnička organizacija;;Ivan Raffaelli, Klara Modrić;;;;;;;;;;;;13.9.2023. 0:00:00;;13.9.2023. 0:00:00;608;3.10.2023. 0:00:00;Ivan Raffaelli;KLASA: UP/I-611-09/23-01/0021;3.10.2023. 0:00:00;;;
KAZ-235;Kazališna družina Zagrebački euritmijski ansambl        ;091/885 88 45;;iona@euritmija.org;Grad Zagreb;Grad Zagreb;Medvedgradska 18;Umjetnička organizacija;www.euritmija.org;Vida Talajić Čuletić, Alen Guca;;;;Zagrebački euritmijski ansambl IONA;Grad Zagreb;Grad Zagreb;Medvedgradska 18;;;;;24.12.2003. 0:00:00;;24.12.2003. 0:00:00;163;12.3.2004. 0:00:00;Vida Talajić Čuletić;KLASA: UP/I-612-01/04-01/02;12.3.2004. 0:00:00;;Kazališna družina Zagrebački euritmijski ansambl je posebna ustrojstvena jedinica koja se bavi kazališnom djelatnošću u sklopu pravne osobe umjetničke organizacije Zagrebački euritmijski ansambl IONA.;
KAZ-236;Umjetnička organizacija Kazališna družina Mesnica teatar                 ;095/870 96 44;;mesnicatvoja@gmail.com;Grad Zagreb;Grad Zagreb;Strmečkoga put 2;Umjetnička organizacija;;Mirel Huskić, Vanja Jovanović, Jan Novosel;;;;;;;;;;;;4.11.2020. 0:00:00;;4.11.2020. 0:00:00;524;15.1.2021. 0:00:00;Vanja Jovanović;KLASA: UP/I-612-01/20-01/0040;15.1.2021. 0:00:00;;;
KAZ-241;Kazališna družina Nezamislivo           ;091/ 540 6372;;korbariva@gmail.com;Grad Zagreb;Grad Zagreb;Janka Leskovara 1;Umjetnička organizacija;;Iva Korbar, Nives Soldičić;;;;Umjetnička organizacija Nezamislivo. Laboratorij svega.;Grad Zagreb;Grad Zagreb;Janka Leskovara 1;091/ 540 6372;;korbariva@gmail.com;Odluka;2.7.2021. 0:00:00;;2.7.2021. 0:00:00;538;29.7.2021. 0:00:00;Iva Korbar;KLASA: UP/I-612-01/21-01/0200;29.7.2021. 0:00:00;;Kazališna družina Nezamislivo je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije Nezamislivo.Laboratorij svega.  ;
KAZ-232;Umjetnička organizacija Kazališna družina Emma     ;097/7213522;;uo.kd.emma@gmail.com;Grad Zagreb;Grad Zagreb;Podomarska 15;Umjetnička organizacija;;Tea Šimić, Martina Mandek;;;;;;;;;;;;28.10.2020. 0:00:00;;28.10.2020. 0:00:00;518;6.11.2020. 0:00:00;Tea Šimić;KLASA: UP/I-612-01/20-01/0033;28.10.2020. 0:00:00;;;
KAZ-223;Umjetnička organizacija Kazališna družina KOVA      ;091/1699026;;mario@supermark.hr;Grad Zagreb;Grad Zagreb;Petrinjska 34;Umjetnička organizacija;;Mario Gigović, Aleksandar Švabić;;;;;;;;;;;;6.12.2019. 0:00:00;;6.12.2019. 0:00:00;491;29.1.2020. 0:00:00;Mario Gigović;KLASA:UP/I-612-01/19-01/0039;29.1.2020. 0:00:00;;;
KAZ-262;Umjetnička organizacija Kazališna družina "Slomi nogu"  ;;;lovro.ivankovic91@gmail.com;Grad Zagreb;Grad Zagreb;Tkalčićeva 52;Umjetnička organizacija;;Lovro Ivanković, Nika Ivančić;;;;;;;;;;;43/96 i 44/96;22.8.2022. 0:00:00;43/96, 44/96;22.8.2022. 0:00:00;582;30.9.2022. 0:00:00;Lovro Ivanković;KLASA:UP/I-611-09/22-01/0029;30.9.2022. 0:00:00;;;
KAZ-193;Umjetnička organizacija Kazališna družina "Zakon teatar";095/8709 644;;mirelwho@gmail.com;Karlovačka;Karlovac;E. Kvaternika 1;Umjetnička organizacija;;Mirel Huskić, Sara Ipša;;;Pokupsko 138, Pokupsko, S. Vukovića 15, Varaždin;;;;;;;;;2.1.2018. 0:00:00;;2.1.2018. 0:00:00;444;15.1.2018. 0:00:00;Mirel Huskić;KLASA: UP/I-612-01/18-01/0001;15.1.2018. 0:00:00;;;
KAZ-154/2;Kazališna družina Kerekesh teatar     ;098/178 65 26;;kerekesh@kerekesh.hr;Varaždinska;Varaždin;Vladimira Vidrića 10;Umjetnička organizacija;kerekesh-teatar.hr;Jan Kerekeš, Dina Rain;;;;Umjetnička organizacija Kerekesh teatar;Varaždinska;Varaždin;Vladimira Vidrića 10;;;;Odluka;24.1.2014. 0:00:00;;24.1.2014. 0:00:00;354;19.2.2019. 0:00:00;Jan Kerekeš;UP/I-612-01/14-01/0002;3.1.2019. 0:00:00;;Izmjene: promjena Statuta 26.2.2024., imenovanje likvidatora, skraćeni naziv Umjetničke organizacije-Kerekesh teatar.   Prethodne izmjene: prijenos osnivačkih prava, odgovorne osobe, u sklopu Umjetntičke organizacije "Kerekesh teatar" osnovana je posebna ustrojstvena jedinica Kazališna družina Kerekesh teatar, Jan Kerekesh je ravnatelj Kazališne družine i odgovorna osoba Umjetničke organizacije.   Statut usklađen sa Zakonom o kazalištima 7.2.2019. , upis Umjetničke organizacije u Registar umjetničkih organizacija 10.2.2014.    ;
KAZ-133/2;Umjetnička organizacija Kazališna družina Oberon;095/905 37 38;;damirmadaric@hotmail.com;Koprivničko-križevačka;Koprivnica;Sajmišna 3;Umjetnička organizacija;www.kazaliste-oberon;Damir Mađarić, Petra Mađarić, Robert Ugrina;;;Sajmišna 3, Koprivnica, Istarski trg 2, Zagreb;;;;;;;;Odluka;20.10.1998. 0:00:00;;22.10.2023. 0:00:00;47;28.10.1998. 0:00:00;Damir Mađarić;Klasa: UP/I-612-03/98-01/382;28.10.1998. 0:00:00;;Izmjena: promjena naziva umjetničke organizacije (kazališna družina), odgovorna osoba: Damir Mađarić, Rješenje MKM: UP/I-612-01/13-01/0006, od 8.11.2023., nova osoba s osnivačkim pravom,   Prethodne izmjene: prijenos osnivačkih prava i promjena adrese : Rješenje MK:  Klasa: UP/I-612-01/13-01/0006, od 22. travnja 2013. ;
KAZ-085;Kazališna družina Merkuri teatar;099/4114581;;merkuri.teatar@gmail.com;Bjelovarsko-bilogorska;Bjelovar;Dr. Ante Starčevića 13;Umjetnička organizacija;www.merkuriteatar.hr;Jasmina Šogolj, Matjaž Koman;;;Naselje kralja Zvonimira 2/2, Bjelovar, Dr. Ante Starčevića 13, Bjelovar;;;;;;;;Odluka;20.10.2009. 0:00:00;Statut;20.10.2009. 0:00:00;250;30.10.2009. 0:00:00;Jasmina Šogolj;UP/I-612-01/09-01/0024;30.10.2009. 0:00:00;Jasmina Šogolj, akademska glumica  Matjaž Koman, akademski glumac;;
KAZ-267;Kazališna družina MONOTEATAR;+385 95 5990673;;in.k.a.s.uo@gmail.com;Bjelovarsko-bilogorska;Bjelovar;Vinka Dvoržaka 9;Umjetnička organizacija;;Dušan Makimovski, Matija Jakšeković, Goran Legović;;;;Umjetnička organizacija Inicijativa kreativne i autorske snage;Bjelovarsko-bilogorska;Bjelovar;Vinka Dvoržaka 9;;;;Odluka;14.3.2023. 0:00:00;;14.3.2023. 0:00:00;599;28.4.2023. 0:00:00;Dušan Maksimovski;KLASA: UP/I-611-09/23-01/0008;28.4.2023. 0:00:00;;Kazališna družina MONO TEATAR je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije Inicijativa kreativne i autorske snage (skraćeno,: In.K.A.S.). Dušan Makimovski je odgovorna osoba te ravnatelj kazališne družine. Matija Jalšeković je ovlašten za predstavljanje i zastupanje umjetničke organizacije. ;
KAZ-194;Putujuća, lutkarska kazališna družina Vjeverica j.d.o.o.;091/938 1355;;plkvjeverica@gmail.com;Zagrebačka;Brdovec;Matije Gupca 49,  10291 Prigorje Brdovečko, Brdovec;Trgovačko društvo;;Marta Vlainić;Zagrebačka;Brdovec;Matije Gupca 49, 10291 Prigorje Brdovečko;;;;;;;;;1.12.2017. 0:00:00;;1.12.2017. 0:00:00;MBS 081135323, Tt-18/9282-2);1.12.2017. 0:00:00;Marta Vlainić;;1.12.2017. 0:00:00;;1.12.2017. tvrtka Putujuće lutkarsko kazalište Vjeverica j.d.o.o. je upisana u sudski registar kod Trgovačkog suda u Zagrebu (Tt-17/43076-4).   9. 3. 2018. Trgovački sud u Zagrebu je donio rješenje o izmjeni naziva i djelatnosti tvrtke (Tt-18/9282-2) koja se sada zove Putujuća, lutkarska kazališna družina Vjeverica j.d.o.o.;
KAZ-208;Umjetnička organizacija Kazališna družina Kazalište Škrabe      ;091/722 91 67;;kazaliste.skrabe@gmail.com;Zagrebačka;Jastrebarsko;Zagrebačka 7;Umjetnička organizacija;;Klementina Škrabe, Stjepan Nino Škrabe;Zagrebačka;Jastrebarsko;Zagrebačka 7;;;;;;;;Odluka;20.2.2019. 0:00:00;;20.2.2019. 0:00:00;473;27.2.2019. 0:00:00;Klementina Škrabe;KLASA: UP/I-612-01/19-01/0008;27.2.2019. 0:00:00;;;
KAZ-140;Umjetnička organizacija "BURKA";01/336 10 39;;neda.marovic@gmail.com;Zagrebačka;Samobor;Franza Liszta 22;Umjetnička organizacija;;Zlatko Turković, Neda Marović Turković;Zagrebačka;Samobor;Franza Liszta 22;;;;;;;;Odluka;10.5.2013. 0:00:00;;10.5.2013. 0:00:00;334;22.5.2013. 0:00:00;Neda Marović Turković;Klasa: UP/I-612-01/13-01/0013;22.5.2013. 0:00:00;;;
KAZ-153;B GLAD Produkcija d.o.o.;095/734 1191;;info@bgladprod.com;Zagrebačka;Samobor;Rupica 15;Trgovačko društvo;;Branko Glad, Tadija Kolovrat;Zagrebačka;Samobor;Rupica 15, Samobor, Palma 33, Zagreb;;;;;;;;;15.9.2010. 0:00:00;;;MBS:080742343, Tt-10/10456-3;5.10.2010. 0:00:00;Tadija Kolovrat;;5.10.2010. 0:00:00;;Primarna djelatnost produkcija glazbeno-scenskih (mjuzikl) i dramskih predstava.;
KAZ-266;Umjetnička organizacija Kazališna družina Štoos teatar;095/8709644;;;Zagrebačka;Velika Gorica;Nikole Šopa 1;Umjetnička organizacija;;Ana Katulić, Mirel Huskić;Zagrebačka;Velika Gorica;;;;;;;;;;4.11.2021. 0:00:00;;4.11.2021. 0:00:00;586;7.4.2023. 0:00:00;Ana Katulić;KLASA: UP/I-611-09/22-01/0035;7.4.2023. 0:00:00;;;
KAZ-036/1;GRADSKO KAZALIŠTE-SCENA "GORICA";01/ 62 59 800;01/ 62 59 888;tajnistvo@pouvg.hr;Zagrebačka;Velika Gorica;Zagrebačka 37;Ustanova;www.pouvg.hr;Grad Velika Gorica;Zagrebačka;Velika Gorica;Trg kralja Tomislava 34;Pučko otvoreno učilište Velika Gorica;Zagrebačka;Velika Gorica;Zagrebačka 37;;;;kLASA: 612-13/2008-01/134, Urbroj: 238-33-02-2008-01;28.5.2008. 0:00:00;Klasa: 003-05/2008-01/1, Urbroj: 238/31-97/08-01;7.4.2008. 0:00:00;;10.10.2008. 0:00:00;Snježana Špehar, v.d.;Klasa: 021-04/2010-03/108,urbroj 238-33-01-2010-01;29.10.2010. 0:00:00;Članovi Upravnog vijeća:   imenovani od Gradskog vijeća Grada Velike Gorice,  Mario Bučar, strojarski tehničar, SSS,  Vlado Horina, gimnazija, SSS,  Zdenko Ilečić, prof. hrvatskog jezika, VSS .  - imenovani od strane ustanove:  Velimir Džaković, dipl. ekonomist, prof. VSS, 9.12. 2010.  Emica Ljubić, dipl. pravnik, VSS - 5. 2. 2010. ;Izmjena: ravnatelj,  članovi Upravnog vijeća POU.;
KAZ-091/1;Kazališna družina Max teatar;0915055532;;max.teatar@gmail.com;Zagrebačka;Zaprešić;Rude Bosaka 1;Umjetnička organizacija;www.maxteatar.hr;Davor Rocco, Esad Ribić;Zagrebačka;Zaprešić;Rude Bosaka 1;Umjetnička organizacija Max teatar;Zagrebačka;Zaprešić;Rude Bosaka 1;;;max.teatar@gmail.com;;22.12.2022. 0:00:00;;15.7.2000. 0:00:00;78;9.4.2024. 0:00:00;Davor Rocco;Klasa:UP/I-612-01/08-01/0021;10.4.2024. 0:00:00;;Kazališna družina Max teatar je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije Max teatar. Ravnatelj Kazališne družine i umjetnički voditelj Umjetničke organizacije kao i odgovorna osoba je Davor Rocco. Umjetnička organizacija upisana je u Registar umjetničkih organizacija 13.10. 2000.   Izmjene: prijenos osnivačkih prava i odgovorne osobe, sjedište UO, Statut. ;
